Major,Number,,,Department,Faculty,,,,,,,,,
Economics,66,,,AMES,Carlos Rojas,,,,,,,,,
Computer Science,64,,,AMES,Leo Ching,,,,,,,,,
Biology,61,,,Biology,Dean Nowicki,,,,,,,,,
Pub Pol,50,,,Biology,Sonke Johnsen,,,,,,,,,
Neuroscience,40,,,Biology,Anne Yoder,,,,,,,,,
ECE,27,,,"Biology, Global Health",Sherryl Broverman,,,,,,,,,
Political Science,25,,,Civil and Environmental Engineering,Zbigniew Kabala,,,,,,,,,
Undecided,21,,,Computer Science,Cynthia Rudin,,,,,,,,,
Stats,15,,,Computer Science,Carlo Tomasi,,,,,,,,,
Biomedical Engineering,13,,,Computer Science,Owen Astrachan,,,,,,,,,
Math,13,,,Culanth,Robin Kirk,,,,,,,,,
Environmental Sciences,10,,,Economics,Emma Rasiel,,,,,,,,,
Global Health,9,,,Economics,Jason Brent,,,,,,,,,
Chemistry,8,,,English,Negar Mottadeheh,,,,,,,,,
History,8,,,History,Sarah Deutsch,,,,,,,,,
Mechanical Engineering,8,,,History,Prasenjit Duara,,,,,,,,,
Psychology,8,,,History,Laura Edwards,,,,,,,,,
English,7,,,Math,Clark Bray,,,,,,,,,
ICS,7,,,Math,Sarah Schott,,,,,,,,,
Program II,7,,,Neurobiology,Leonard White,,,,,,,,,
Philosophy,5,,,Political Science,Richard Salsman,,,,,,,,,
Culanth,4,,,President,Vincent Price,,,,,,,,,
Pre-Health,4,,,Pub Pol,Ken Rogerson,,,,,,,,,
Vis & Media Studies,4,,,Romance Studies,Michael Hardt,,,,,,,,,
AMES,3,,,Sociology,George Grody,,,,,,,,,
Civil Engineering,3,,,Statistics,David Banks,,,,,,,,,
Environmental Engineering,3,,,Student Affairs,Dean Sue,,,,,,,,,
Evanth,3,,,,,,,,,,,,,
Physics,3,,,,,,,,,,,,,
Art History,2,,,,,,,,,,,,,
EOS,2,,,,,,,,,,,,,
Interdepartmental Major,2,,,,,,,,,,,,,
Linguistics,2,,,,,,,,,,,,,
Sociology,2,,,,,,,,,,,,,
Biophysics,1,,,,,,,,,,,,,
Comp Bio ,1,,,,,,,,,,,,,
Education,1,,,,,,,,,,,,,
"Gender, Sexuality, and Feminist",1,,,,,,,,,,,,,
,,,,,Spring 2017,,,,Spring 2018,,,,Fall 2017,
2018,,Major,Number,,Department,Faculty,,,Department,Faculty,,,Department,Faculty
Computer Science,49,Economics,66,,Biology,Mohammed Noor,,,African and American Studies,Stephen Smith,4.3,12,AMES,Carlos Rojas
ECE,38,Computer Science,64,,Dean of Undergraduate Studies|Biology,Steve Nowicki,,,Biology|Undergraduate Studies,Stephen Nowicki,4.8,6,AMES,Leo Ching
Public Policy,32,Biology,61,,Sociology|Markets and Management Studies,George Grody,,,BME,Elizabeth Bucholz,5,5,Biology,Dean Nowicki
Neuroscience,31,Pub Pol,50,,Political Science,Richard Salsman,,,BME,Ashutosh Chilkoti,3.5,8,Biology,Sonke Johnson
Economics,22,Neuroscience,40,,Public Policy,Ken Rogerson,,,Board of Trustees,Richard Riddell,,,Biology,Anne Yoder
Biology,21,ECE,27,,Global Health|Sociology,Jen'nan Read,,,Board of Trustees|ECE,Nan Jokerst and Patricia Morton,,,Biology|Global Health,Sherryl Broverman
BME,13,Political Science,25,,History|Public Policy,Gunther Peck,,,Computer Science,Jeffrey Forbes,,,Civil and Environmental Engineering,Zbigniew Kabala
Political Science,13,Undecided,21,,Global Health|Biology,Sherryl Broverman,,,Computer Science,Alexander Hartemink,,,Computer Science,Cynthia Rudin
Undecided,11,Stats,15,,Divinity School,Charles Campbell,,,Culanth,Christine Folch,,,Computer Science,Carlo Tomasi
ICS,9,Biomedical Engineering,13,,History|Public Policy,Reeve Huston,,,ECE,Andrew Hilton,,,Computer Science,Owen Astrachan
Math,9,Math,13,,Mathematics,Sarah Schott,,,ECE,Lawrence Carin,,,Culanth,Robin Kirk
Computational Biology,8,Environmental Sciences,10,,Neuroscience,Minna Ng,,,ECE,Tyler Bletsch,,,Economics,Emma Rasiel
Environmental Sciences,8,Global Health,9,,Neuroscience,Edna Andrews,,,ECE|Computer Science,Shaundra Daily,,,Economics,Jason Brent
History,6,Chemistry,8,,Economics,Charles Becker,,,Economics,Connel Fullenkamp,,,English,Negar Mottadeheh
Stats,6,History,8,,Public Policy,Adam Hollowell,,,Economics,Michelle Connolly,,,History,Sarah Deutsch
Global Health,5,Mechanical Engineering,8,,Board of Trustees,Richard Riddell,,,Economics,Lori Leachman,,,History,Prasenjit Duara
Program II,5,Psychology,8,,Economics,Michelle Connolly,,,Economics,James Roberts,,,History,Laura Edwards
Psychology,5,English,7,,History,William Chafe,,,Environmental Engineering,Michael Bergin,,,Math,Clark Bray
Chemistry,3,ICS,7,,Economics,Connell Fullenkamp,,,Evanth,Anne Pusey,,,Math,Sarah Schott
English,3,Program II,7,,Electrical Engineering|Neuroscience|Psychology,Lisa Huettel|Scott Huettel,,,History,William Chafe,,,Neurobiology,Leonard White
Environmental Engineering,3,Philosophy,5,,President,Richard Brodhead,,,History,John French,,,Political Science,Richard Salsman
Mechanical Engineering,3,Culanth,4,,,,,,History|Culanth,Orin Starn,,,President,Vincent Price
Physics,3,Pre-Health,4,,,,,,Neuroscience,Thomas Newpher,,,Pubic Policy,Ken Rogerson
AME,2,Vis & Media Studies,4,,,,,,Neuroscience,Minna Ng,,,Romance Studies,Michael Hardt
Evanth,2,AMES,3,,,,,,Neuroscience|ECE,Scott and Lisa Huettel,,,Sociology,George Grody
Music,2,Civil Engineering,3,,,,,,Neuroscience|Psychology,Karen Murphy,,,Statistics,David Banks
Philosophy,2,Environmental Engineering,3,,,,,,Political Science,Kyle Beardsley,,,Student Affairs,Dean Sue
Sociology,2,Evanth,3,,,,,,Public Policy,Bill Adair,,,,
Culanth,1,Physics,3,,,,,,Public Policy,Philip Napoli,,,,
Education,1,Art History,2,,,,,,Public Policy,Alma Blount,,,,
French,1,EOS,2,,,,,,Public Policy|Political Science,Frederick Mayer,,,,
Interdeparmental Study,1,Interdepartmental Major,2,,,,,,Public Policy|Political Science,Bruce Jentleson,,,,
Linguistics,1,Linguistics,2,,,,,,Religious Studies,Carol and Eric Meyers,,,,
Pre-Health,1,Sociology,2,,,,,,Romance Studies,Deborah Jenson,,,,
Visual and Media Studies,1,Biophysics,1,,,,,,Romance Studies,Laura Casa,,,,
,,Comp Bio ,1,,,,,,Science and Society,Buz Waitzkin,,,,
,,Education,1,,,,,,Sociology,Gilbert Merkx,,,,
,,"Gender, Sexuality, and Feminist",1,,,,,,Sociology,Gary Gereffi,,,,
,,,,,,,,,,,,,,
,,,,,,20,15,,,37,8,,,
,,,,,,,300,,,,296,,,
,,,,,,,,,,,,,,
Spring 2018,,,,,,,,,,,,,,
FacultyKey,Department,Week,Day of Week,Date,Topic,Where,ID,FacultyName,,,,,,
hartemink,Biology,week7,Tuesday,4/3/18,Using Technology Well,Durham,1,Alexander Hartemink,,,,,,
blount,Public Policy,week9,Wednesday,4/18/18,"Reading, Writing, and Finding Time to Think",Durham,2,Alma Blount,,,,,,
hilton,Electrical & Computer Engineering,week2,Tuesday,2/20/18,Graduate School,Durham,3,Andrew Hilton,,,,,,
pusey,Evolutionary Anthropology,week6,Wednesday,3/28/18,What makes us human?,Durham,4,Anne Pusey,,,,,,
chilkoti,Biomedical Engineering,week2,Thursday,2/22/18,General Convoo,Durham,5,Ashutosh Chilkoti,,,,,,
adair,Public Policy,week1,Monday,2/12/18,Partisan News and Echo Chambers,Durham,6,Bill Adair,,,,,,
jentleson,Public Policy|Political Science,week6,Monday,3/26/18,What role should the US play in the 21st Century?,Durham,7,Bruce Jentleson,,,,,,
waitzkin,Science and Society,week1,Tuesday,2/13/18,Challenges of Health Policy,Durham,8,Buz Waitzkin,,,,,,
meyers,Religious Studies,week5,Wednesday,3/21/18,Unearthing Duke's Past and Looking Forward to Duke's Future,On Campus,9,Carol and Eric Meyers,,,,,,
folch,Cultural Anthropology,week7,Wednesday,4/4/18,How students can get involved in energy and sustainability,On Campus,10,Christine Folch,,,,,,
fullenkamp,Economics,week5,Thursday,3/22/18,How are values shaped by society?,Durham,11,Connel Fullenkamp,,,,,,
jenson,Romance Studies,week2,Monday,2/19/18,Humanities as a Blueprint for Lifelong Learning,Durham,12,Deborah Jenson,,,,,,
bucholz,Biomedical Engineering,week2,Monday,2/19/18,Women in Engineering,Cary,13,Elizabeth Bucholz,,,,,,
mayer,Public Policy|Political Science,week5,Wednesday,3/21/18,Getting Beyond the Gridlock,Durham,14,Frederick Mayer,,,,,,
gereffi,Sociology,week8,Tuesday,4/10/18,The Changing Role of the US in a globalized world,Durham,15,Gary Gereffi,,,,,,
merkx,Sociology,week4,Wednesday,3/7/18,Development amidst Globalization,On Campus,16,Gilbert Merkx,,,,,,
roberts,Economics,week9,Thursday,4/19/18,"Once you've left Duke, then what?",Chapel Hill,17,James Roberts,,,,,,
forbes,Computer Science,week4,Monday,3/5/18,Equity in Technology,Chapel Hill,18,Jeffrey Forbes,,,,,,
french,History,week6,Wednesday,3/28/18,Social Mobility and Higher Ed in Brazil,Durham,19,John French,,,,,,
murphy,Neuroscience|Psychology,week9,Monday,4/16/18,Sports and Concussions,Durham,20,Karen Murphy,,,,,,
beardsley,Political Science,week4,Monday,3/5/18,From Academic Research to Public Policy,Chapel Hill,21,Kyle Beardsley,,,,,,
casa,Romance Studies,week6,Thursday,3/29/18,Italian Society and Politics,,22,Laura Casa,,,,,,
carin,Electrical & Computer Engineering,week3,Thursday,3/1/18,Machine Learning,Chapel Hill,23,Lawrence Carin,,,,,,
leachman,Economics,week8,Tuesday,4/10/18,Trade wars and inequality,Durham,24,Lori Leachman,,,,,,
bergin,Environmental Engineering,week3,Tuesday,2/27/18,The Future of Work,Chapel Hill,25,Michael Bergin,,,,,,
connolly,Economics,week7,Wednesday,4/4/18,Economics Research: academia to governance,Durham,26,Michelle Connolly,,,,,,
ng,Neuroscience,week7,Thursday,4/5/18,Humanzing Androids,Durham,27,Minna Ng,,,,,,
morton,Board of Trustees|ECE,week8,Thursday,4/12/18,"What do you like about Duke, and how should Duke change?",Hillsborough,28,Nan Jokerst and Patricia Morton,,,,,,
napoli,Public Policy,week9,Tuesday,4/17/18,Economic Challenges Facing Journalism,Durham,29,Philip Napoli,,,,,,
riddell,Board of Trustees,week6,Tuesday,3/27/18,Graduation Day gains,Durham,30,Richard Riddell,,,,,,
huettel,Neuroscience|ECE,week6,Thursday,3/29/18,Making Good Decisions,Chapel Hill,31,Scott and Lisa Huettel,,,,,,
daily,Electrical & Computer Engineering|Computer Science,week9,Monday,4/16/18,How not to be an entrepreneur,,32,Shaundra Daily,,,,,,
nowicki,Biology|Undergraduate Studies,week4,Tuesday,3/6/18,Why did you come to college?,Durham,33,Stephen Nowicki,,,,,,
smith,African and American Studies,week5,Tuesday,3/20/18,Journalism and Media Perceptions of Africa,Chapel Hill,34,Stephen Smith,,,,,,
newpher,Neuroscience,week2,Wednesday,2/21/18,Active Learning and Student Centered Pedagogies,Hillsborough,35,Thomas Newpher,,,,,,
bletsch,Electrical & Computer Engineering,week5,Tuesday,3/20/18,Beyond the Classroom,Durham,36,Tyler Bletsch,,,,,,
chafe,History,week3,Wednesday,2/28/18,Diversity at Duke,Chapel Hill,37,William Chafe,,,,,,
,,,,,,,,,,,,,,
Fall 2017,,,,,,,,,,,,,,
FacultyKey,Department,Week,Day of Week,Date,Topic,Where,ID,FacultyName,,,,,,
rojas,Asian & Middle Eastern Studies,,,,,,,Carlos Rojas,,,,,,
ching,Asian & Middle Eastern Studies,,,,,,,Leo Ching,,,,,,
nowicki,Biology,,,,,,,Dean Nowicki,,,,,,
johnsen,Biology,,,,,,,Sonke Johnsen,,,,,,
yoder,Biology,,,,,,,Anne Yoder,,,,,,
broverman,Biology|Global Health,,,,,,,Sherryl Broverman,,,,,,
kabala,Environmental Engineering,,,,,,,Zbigniew Kabala,,,,,,
rudin,Computer Science,,,,,,,Cynthia Rudin,,,,,,
tomasi,Computer Science,,,,,,,Carlo Tomasi,,,,,,
astrachan,Computer Science,,,,,,,Owen Astrachan,,,,,,
kirk,Cultural Anthropology,,,,,,,Robin Kirk,,,,,,
rasiel,Economics,,,,,,,Emma Rasiel,,,,,,
brent,Economics,,,,,,,Jason Brent,,,,,,
mottahedeh,English,,,,,,,Negar Mottahedeh,,,,,,
deutsch,History,,,,,,,Sarah Deutsch,,,,,,
duara,History,,,,,,,Prasenjit Duara,,,,,,
edwards,History,,,,,,,Laura Edwards,,,,,,
bray,Math,,,,,,,Clark Bray,,,,,,
schott,Math,,,,,,,Sarah Schott,,,,,,
white,Neuroscience,,,,,,,Leonard White,,,,,,
salsman,Political Science,,,,,,,Richard Salsman,,,,,,
price,President,,,,,,,Vincent Price,,,,,,
rogerson,Pubic Policy,,,,,,,Ken Rogerson,,,,,,
hardt,Romance Studies,,,,,,,Michael Hardt,,,,,,
grody,Sociology,,,,,,,George Grody,,,,,,
banks,Statistics,,,,,,,David Banks,,,,,,
sue,Student Affairs,,,,,,,Dean Sue,,,,,,
shanahan,Sociology,,,,,,,Suzanne Shanahan,,,,,,